Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count
Volkswagen,Golf,2007,3.2,Hybrid,Semi-Automatic,33948,5,4
BMW,5 Series,2010,4.8,Electric,Semi-Automatic,224853,2,1
Hyundai,Sonata,2006,1.9,Hybrid,Semi-Automatic,13435,3,5
Honda,CR-V,2019,1.7,Diesel,Semi-Automatic,199846,2,3
Mercedes,E-Class,2005,3.6,Petrol,Automatic,261,3,2
Mercedes,GLA,2021,3.1,Petrol,Semi-Automatic,237836,3,4
Volkswagen,Tiguan,2023,3.0,Electric,Manual,264338,5,2
Audi,A3,2016,2.2,Hybrid,Automatic,284193,2,4
Mercedes,GLA,2015,1.0,Electric,Manual,95342,2,3
BMW,5 Series,2000,3.4,Petrol,Semi-Automatic,278310,5,3
Ford,Focus,2000,3.8,Hybrid,Manual,257726,4,2
Honda,Civic,2013,3.5,Hybrid,Semi-Automatic,93273,2,4
Kia,Sportage,2008,3.9,Electric,Semi-Automatic,137257,4,4
Audi,A4,2001,4.2,Electric,Automatic,11815,3,4
Volkswagen,Tiguan,2008,1.7,Diesel,Automatic,274614,4,3
Ford,Fiesta,2007,2.5,Diesel,Automatic,283885,4,3
Hyundai,Sonata,2015,2.3,Petrol,Manual,158003,5,4
BMW,X5,2018,4.4,Hybrid,Manual,210532,5,2
Chevrolet,Malibu,2010,4.3,Electric,Automatic,51893,4,1
Ford,Explorer,2023,4.7,Hybrid,Semi-Automatic,102316,4,1
Hyundai,Sonata,2005,1.5,Petrol,Manual,84535,5,5
Ford,Focus,2014,1.7,Hybrid,Semi-Automatic,59813,5,3
BMW,3 Series,2011,3.1,Diesel,Manual,41582,5,1
Volkswagen,Tiguan,2022,3.0,Diesel,Automatic,113682,4,1
Audi,Q5,2001,1.7,Diesel,Manual,24929,3,1
Volkswagen,Tiguan,2015,3.4,Hybrid,Semi-Automatic,265204,2,5
Hyundai,Elantra,2000,1.8,Petrol,Manual,161487,3,5
Volkswagen,Golf,2007,4.2,Diesel,Automatic,86876,3,3
Toyota,Camry,2019,2.5,Electric,Automatic,21694,2,4
Hyundai,Sonata,2012,3.1,Electric,Automatic,211305,3,3
Mercedes,C-Class,2008,3.9,Electric,Semi-Automatic,282354,3,5
BMW,X5,2007,1.5,Diesel,Automatic,192279,5,2
Volkswagen,Passat,2012,2.9,Diesel,Semi-Automatic,267772,2,3
Honda,Civic,2016,1.1,Electric,Manual,259759,4,3
Chevrolet,Impala,2006,3.9,Diesel,Automatic,102807,5,5
Audi,Q5,2009,3.5,Electric,Manual,76449,4,2
Honda,Civic,2019,4.5,Electric,Semi-Automatic,187412,4,1
Toyota,Camry,2023,4.6,Hybrid,Semi-Automatic,69109,3,5
BMW,X5,2011,2.3,Electric,Semi-Automatic,275808,3,3
Honda,Accord,2007,2.9,Petrol,Automatic,177432,4,1
BMW,X5,2021,4.2,Diesel,Semi-Automatic,263328,4,2
Volkswagen,Passat,2020,2.7,Electric,Automatic,295220,2,3
Mercedes,GLA,2018,1.5,Hybrid,Manual,116026,4,2
Volkswagen,Golf,2003,1.7,Petrol,Manual,30019,4,3
Audi,A3,2002,1.6,Diesel,Semi-Automatic,125878,2,3
Toyota,Camry,2009,1.3,Diesel,Manual,76365,5,4
Hyundai,Elantra,2009,1.7,Diesel,Semi-Automatic,235964,4,5
